sid,Country,Region,construction_period_start,construction_period_end,steel,copper,aluminum,unspecified_metal,wood,paper_cardboard,straw,concrete,cement,aggregates,brick,mortar_plaster,mineral_fill,plaster_board_gypsum,Adobe,asphalt,bitumen,natural_stone,cement_asbestos,Clay,glass,siding_unspecified,Ceramics,plastics,polystyrene,PVC,Linoleum,Carpet,Heraklith,mineral wool,insulation_unspecified,other_unspecified_material,building_description,no_floors,occupation,building_type,measurement_type,urban_rural,floor_area_type,Authors,publication_year,publication_title,publication_outlet,copyright_publication,DOI,URL,comment_scope,comment_conversion,comment_aggregation,comment_primary,comment_secondary,data_entry,global_region,climate_classification,equator_distance,heating_degree_days_0,heating_degree_days_1,cooling_degree_days_0,cooling_degree_days_1,country_land_area,population_0,population_1,urbanization_0,urbanization_1,gdp_0,gdp_1,hdi_0,hdi_1
22,CA,TOR,2021,2021,1526.9406,0,0.0,0,40086.12899999999,0,0,316727.78,0.0,70034.2,9354.28,21385.3,0,14798.768999999998,0,746.024,5275.25,7710.19,0,0,858.9820000000001,0.0,0,160.48321,0,0,0,0,0,8010.6900000000005,0.0,610.8717,,5,,SND,Case study,Urban,,Shoshanna Saxe Research Group,2021,A Construction Classification System Database for Understanding Resource Use in Building Construction,,,,,,,NA,Material quantities were obtained through performing take offs directly from the building drawings.,,,Northern America,Dfb,4859,,,,,9984670,39110000.0,39110000.0,0.13,0.13,1736430000000.0,1736430000000.0,,
23,CA,TOR,2021,2021,145.83870000000002,0,0.0,0,38496.384699999995,0,0,208966.89400000003,0.0,46332.450000000004,23643.5,7172.38,0,15024.26,0,2919.67,3019.85,4632.13,0,0,514.9055999999999,0.0,0,108.4559,0,0,0,0,0,8691.615000000002,263.055,154.37369999999999,,5,,SND,Case study,Urban,,Shoshanna Saxe Research Group,2021,A Construction Classification System Database for Understanding Resource Use in Building Construction,,,,,,,NA,Material quantities were obtained through performing take offs directly from the building drawings.,,,Northern America,Dfb,4859,,,,,9984670,39110000.0,39110000.0,0.13,0.13,1736430000000.0,1736430000000.0,,
24,CA,TOR,2021,2021,153.07493,0,0.0,0,16729.422039999998,0,0,100373.36400000002,0.0,15809.3,1302.05,352.848,0,6348.474999999999,0,1661.83,1205.76,0.0,0,0,443.429,4396.14,0,83.16846,0,0,0,0,0,3485.8492100000003,123.344,115.25352000000001,,5,,SMD,Case study,Urban,,Shoshanna Saxe Research Group,2021,A Construction Classification System Database for Understanding Resource Use in Building Construction,,,,,,,NA,Material quantities were obtained through performing take offs directly from the building drawings.,,,Northern America,Dfb,4859,,,,,9984670,39110000.0,39110000.0,0.13,0.13,1736430000000.0,1736430000000.0,,
25,CA,TOR,2021,2021,261.4154,0,0.0,0,21122.578820000002,0,0,94324.587,0.0,20720.98,13485.6,3443.28,0,6768.610000000001,0,0.0,1852.005,0.0,0,0,564.462,7625.36,0,108.12692000000001,0,0,0,0,0,2875.931,613.337,0.0,,5,,SND,Case study,Urban,,Shoshanna Saxe Research Group,2021,A Construction Classification System Database for Understanding Resource Use in Building Construction,,,,,,,NA,Material quantities were obtained through performing take offs directly from the building drawings.,,,Northern America,Dfb,4859,,,,,9984670,39110000.0,39110000.0,0.13,0.13,1736430000000.0,1736430000000.0,,
26,CA,TOR,2021,2021,2559.9025999999994,0,1.8342,0,33616.95299999999,0,0,174454.46000000002,0.0,68733.45,23207.2,4731.4628,0,9004.836,0,1623.8,2309.55,512.753,0,0,221.1535,4626.3403,0,97.7267,0,0,0,0,0,4758.96,0.0,26.5856,,5,,SND,Case study,Urban,,Shoshanna Saxe Research Group,2021,A Construction Classification System Database for Understanding Resource Use in Building Construction,,,,,,,NA,Material quantities were obtained through performing take offs directly from the building drawings.,,,Northern America,Dfb,4859,,,,,9984670,39110000.0,39110000.0,0.13,0.13,1736430000000.0,1736430000000.0,,
27,CA,WIN,2007,2007,2946329.9792500003,0,0.0,0,0.0,0,0,88770859.04250003,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,,28,,OFF,Case study,Urban,,Shoshanna Saxe Research Group,2021,A Construction Classification System Database for Understanding Resource Use in Building Construction,,,,,,,NA,Material quantities were obtained through performing take offs directly from the building drawings.,,,Northern America,Dfa,4703,,,,,9984670,32889025.0,32889025.0,0.2,0.2,1464980000000.0,1464980000000.0,,
28,CA,TOR,2021,2021,691.9483399999999,0,0.0,0,47830.8809,0,0,150209.75699999998,1434.72,45589.8,0.0,2016.15,0,16345.739999999998,0,3309.39,1710.79,12205.9,0,0,1176.08,10888.3,0,210.89074,0,0,0,0,0,10079.884000000002,408.89,279.543,,5,,SND,Case study,Urban,,Shoshanna Saxe Research Group,2021,A Construction Classification System Database for Understanding Resource Use in Building Construction,,,,,,,NA,Material quantities were obtained through performing take offs directly from the building drawings.,,,Northern America,Dfb,4859,,,,,9984670,39110000.0,39110000.0,0.13,0.13,1736430000000.0,1736430000000.0,,
29,CA,TOR,2021,2021,3329.9985500000003,0,0.0,0,45671.436499999996,0,0,243653.16199999998,0.0,55502.03999999999,7353.02,1877.46,0,20890.0,0,3463.934,3341.8732,0.0,0,0,1233.525,10962.3,0,326.9691,0,0,0,0,0,15617.931,443.045,90.76480000000001,,4,,SND,Case study,Urban,,Shoshanna Saxe Research Group,2021,A Construction Classification System Database for Understanding Resource Use in Building Construction,,,,,,,NA,Material quantities were obtained through performing take offs directly from the building drawings.,,,Northern America,Dfb,4859,,,,,9984670,39110000.0,39110000.0,0.13,0.13,1736430000000.0,1736430000000.0,,
30,CA,TOR,2021,2021,315.88508999999993,0,0.0,0,23711.945300000007,0,0,95539.792,0.0,14969.8,4818.84,1230.4,0,6695.366,0,585.529,149.936,0.0,0,0,516.644,4452.87,0,112.7587,0,0,0,0,0,3792.1809,105.753,38.17883,,6,,SMD,Case study,Urban,,Shoshanna Saxe Research Group,2021,A Construction Classification System Database for Understanding Resource Use in Building Construction,,,,,,,NA,Material quantities were obtained through performing take offs directly from the building drawings.,,,Northern America,Dfb,4859,,,,,9984670,39110000.0,39110000.0,0.13,0.13,1736430000000.0,1736430000000.0,,
31,CA,TOR,2021,2021,3756.93965,0,0.0,0,34029.513199999994,0,0,193835.099,0.0,31740.12,39451.600000000006,10073.25,0,11081.978000000001,0,0.0,2466.01,0.0,0,0,1469.593,0.0,0,103.59779999999999,0,0,0,0,0,5028.858,230.771,22.2725,,5,,SND,Case study,Urban,,Shoshanna Saxe Research Group,2021,A Construction Classification System Database for Understanding Resource Use in Building Construction,,,,,,,NA,Material quantities were obtained through performing take offs directly from the building drawings.,,,Northern America,Dfb,4859,,,,,9984670,39110000.0,39110000.0,0.13,0.13,1736430000000.0,1736430000000.0,,
